Designator,Mid X,Mid Y,Rotation,Layer
D11,21.95,10.16,0.0,top
D12,105.06,11.44,270.0,top
D13,103.73884,81.42682,90.0,top
D14,24.06,11.79,180.0,top
D15,3.31,73.56,270.0,top
D16,113.43,29.58,0.0,top
D17,8.15,87.49,180.0,top
D18,98.56,27.53,270.0,top
D19,103.78964,90.54034,270.0,top
D2,24.06,17.28,180.0,top
D20,126.03336,30.838401,0.0,top
D21,119.37,85.788,270.0,top
D22,114.29,98.234,180.0,top
D23,83.1496,105.092,270.0,top
D3,110.48,11.44,270.0,top
D4,21.95,15.68,0.0,top
D5,104.9682,59.36184,270.0,top
D6,88.63,59.36184,270.0,top
D7,71.97,59.23,270.0,top
D8,49.83,59.24,270.0,top
D9,33.264,59.118,270.0,top
DISPERSION1,114.9394,22.77,180.0,bottom
DISPPATT1,41.09,34.5106,270.0,bottom
ENC1,65.42,19.9287,0.0,bottom
ENV1,111.05,48.4194,90.0,bottom
ENV2,95.84,48.4194,90.0,bottom
ENV3,80.6,48.4194,90.0,bottom
ENV4,50.1,48.4194,90.0,bottom
ENV5,34.86,48.4194,90.0,bottom
ENV6,19.62,48.4194,90.0,bottom
FINE/SCALE1,122.01,103.0287,0.0,bottom
H1,17.12,85.935,270.0,top
IC10,115.5854,73.1896,270.0,top
IC11,123.942,89.344,180.0,top
IC12,96.54,30.99,90.0,top
IC13,108.62,14.86,270.0,top
IC2,122.94732,45.24208,270.0,top
IC3,66.69,46.65,180.0,top
IC4,7.43,44.9,90.0,top
IC5,5.0827,35.0515,270.0,top
IC6,18.53,13.88,180.0,top
IC7,19.208219,28.214173,270.0,top
IC8,4.22,82.15,180.0,top
IC9,27.51,14.05,180.0,top
IN-1,123.22,34.3206,270.0,bottom
J1,114.6202,83.13116,0.0,top
J2,98.563643,86.372733,0.0,top
J3,15.79,72.42,0.0,top
L2,114.29508,88.96972,270.0,top
LAT1,31.3606,22.77,0.0,bottom
LATITUDE/DISPERSION_PAT1,37.41,9.17,0.0,bottom
LED-INCLIP1,114.35604,35.51186,90.0,bottom
LED-LFO1,65.42,54.87,0.0,bottom
LED-WTO1,58.79,29.28,180.0,bottom
LED-WTO2,52.88,20.17,180.0,bottom
LED-WTO3,58.79,11.05,180.0,bottom
LED-WTO4,72.04,11.05,180.0,bottom
LED-WTO5,77.96,20.17,180.0,bottom
LED-WTO6,72.04,29.28,180.0,bottom
LED1,59.84,36.21,0.0,bottom
LED10,70.95,4.25,0.0,bottom
LED11,76.08,6.53,0.0,bottom
LED12,80.37,10.08,0.0,bottom
LED13,83.21,14.78,0.0,bottom
LED14,84.31,20.28,0.0,bottom
LED15,83.21,25.71,0.0,bottom
LED16,80.37,30.42,0.0,bottom
LED17,76.08,33.97,0.0,bottom
LED18,70.95,36.25,0.0,bottom
LED19,104.61,53.12,270.0,bottom
LED2,54.71,33.93,0.0,bottom
LED20,89.18,53.12,270.0,bottom
LED21,73.92,53.12,270.0,bottom
LED22,56.75,53.12,270.0,bottom
LED23,41.51,53.12,270.0,bottom
LED24,26.08,53.12,270.0,bottom
LED3,50.42,30.38,0.0,bottom
LED4,47.58,25.68,0.0,bottom
LED5,46.48,20.25,0.0,bottom
LED6,47.58,14.82,0.0,bottom
LED7,50.42,10.12,0.0,bottom
LED8,54.71,6.57,0.0,bottom
LED9,59.84,4.29,0.0,bottom
LFO1,65.1406,46.2,0.0,bottom
LFOGATERGBBUT1,123.36,77.71,180.0,bottom
LFOVCARGBBUT1,123.36,68.01,180.0,bottom
LFO_SHAPE/PHASE1,8.354,56.5787,0.0,bottom
LFO_SPEED/RANGE1,122.36,55.4887,0.0,bottom
LOAD_PRESET/SAVE1,122.02,9.1787,0.0,bottom
LOCK1,109.24,107.42,0.0,bottom
LOCK2,92.73,107.42,0.0,bottom
LOCK3,76.22,107.42,0.0,bottom
LOCK4,54.63,107.42,0.0,bottom
LOCK5,38.12,107.42,0.0,bottom
LOCK6,21.61,107.42,0.0,bottom
LONGITUDE/WT_SPREAD1,8.55,9.17,0.0,bottom
OUT-1,8.01,34.3206,270.0,bottom
OUT-2,23.02,34.3206,270.0,bottom
PAD1,40.94,73.65,180.0,bottom
PAD2,39.47,73.65,180.0,bottom
PAD3,30.53096,37.21812,270.0,bottom
PAD4,29.6699,38.5948,90.0,bottom
R1,125.27136,37.950401,90.0,top
R10,48.59,22.65,0.0,bottom
R100,63.12,4.37,90.0,bottom
R101,62.16,1.97,0.0,bottom
R102,58.98,1.95,0.0,bottom
R103,122.22336,37.696401,0.0,top
R104,122.672,85.788,90.0,top
R105,126.99,86.55,0.0,top
R106,71.61,6.55,180.0,bottom
R107,73.29,1.92,0.0,bottom
R108,68.6,1.92,180.0,bottom
R109,80.13,7.33,0.0,bottom
R11,47.996,17.95,0.0,bottom
R110,80.13,5.73,0.0,bottom
R111,75.42,4.21,0.0,bottom
R112,51.66,15.65,0.0,bottom
R113,51.69,14.05,0.0,bottom
R114,44.186,14.414,90.0,bottom
R115,36.312,59.626,90.0,top
R116,20.74,59.88,90.0,top
R117,94.33,102.85,0.0,top
R118,94.33,106.95,180.0,top
R119,77.82,102.85,0.0,top
R12,102.19,53.12,90.0,bottom
R120,76.22,108.72,0.0,top
R121,56.23,102.85,0.0,top
R122,74.62,106.95,0.0,top
R123,39.72,102.85,0.0,top
R124,30.92,17.3,180.0,top
R125,2.2,76.64,90.0,top
R126,116.068,92.9,180.0,top
